Species1,Species2,Species3,Time
600,1137,109,975
562,1153,120,976
601,1135,109,977
571,1153,101,978
571,1180,113,979
616,1122,103,980
561,1213,104,981
568,1155,109,982
545,1204,112,983
550,1156,106,984
548,1209,96,985
560,1180,106,986
531,1233,110,987
501,1228,126,988
528,1194,93,989
513,1245,81,990
508,1236,105,991
474,1286,87,992
508,1256,88,993
466,1259,82,994
523,1271,89,995
540,1212,96,996
529,1230,92,997
490,1268,90,998
537,1259,81,999
526,1286,61,1000
515,1286,82,1001
516,1270,74,1002
487,1258,82,1003
489,1280,89,1004
512,1283,76,1005
497,1281,83,1006
494,1277,60,1007
481,1289,78,1008
485,1312,87,1009
466,1311,57,1010
513,1285,53,1011
488,1292,71,1012
469,1337,78,1013
468,1338,56,1014
495,1299,68,1015
463,1317,51,1016
454,1341,67,1017
466,1321,47,1018
457,1320,59,1019
479,1290,67,1020
427,1332,65,1021
464,1305,55,1022
450,1352,66,1023
422,1342,53,1024
446,1331,60,1025
444,1344,52,1026
444,1304,64,1027
437,1357,42,1028
473,1310,48,1029
443,1358,49,1030
468,1334,49,1031
440,1333,48,1032
451,1367,44,1033
480,1308,42,1034
437,1400,35,1035
466,1375,38,1036
432,1329,38,1037
422,1355,31,1038
417,1393,42,1039
415,1396,31,1040
421,1436,31,1041
400,1453,41,1042
421,1384,47,1043
400,1447,35,1044
387,1392,37,1045
404,1438,41,1046
385,1417,35,1047
426,1406,38,1048
419,1444,33,1049
443,1342,35,1050
397,1423,34,1051
414,1424,30,1052
445,1373,35,1053
410,1407,39,1054
377,1440,34,1055
401,1404,41,1056
368,1425,30,1057
406,1408,23,1058
392,1455,35,1059
388,1427,47,1060
368,1448,35,1061
375,1441,40,1062
408,1415,38,1063
349,1476,28,1064
396,1417,37,1065
417,1447,38,1066
373,1438,36,1067
353,1462,35,1068
377,1476,29,1069
390,1457,35,1070
389,1443,34,1071
388,1440,45,1072
367,1495,26,1073
391,1438,31,1074
359,1480,30,1075
388,1429,30,1076
387,1474,23,1077
371,1458,25,1078
355,1499,26,1079
342,1511,30,1080
359,1489,26,1081
365,1482,27,1082
369,1490,26,1083
377,1454,24,1084
344,1505,26,1085
330,1525,21,1086
342,1497,20,1087
332,1549,24,1088
369,1524,30,1089
344,1487,25,1090
365,1516,23,1091
333,1561,16,1092
363,1527,25,1093
330,1536,19,1094
343,1539,23,1095
369,1512,17,1096
344,1557,19,1097
333,1556,23,1098
326,1527,23,1099
326,1561,21,1100
302,1574,20,1101
330,1523,26,1102
337,1560,11,1103
341,1561,16,1104
330,1554,19,1105
323,1583,21,1106
309,1591,15,1107
330,1569,14,1108
350,1530,20,1109
324,1582,11,1110
340,1546,17,1111
321,1528,18,1112
298,1560,9,1113
287,1565,19,1114
294,1614,19,1115
276,1576,14,1116
294,1566,15,1117
284,1577,12,1118
292,1560,17,1119
283,1607,11,1120
294,1612,12,1121
294,1565,11,1122
279,1627,14,1123
384,1368,23,1124
491,858,34,1125
583,499,18,1126
699,255,25,1127
758,120,19,1128
763,77,31,1129
699,74,36,1130
690,80,31,1131
780,62,33,1132
731,73,34,1133
771,89,39,1134
741,76,43,1135
739,106,29,1136
753,92,39,1137
780,87,39,1138
814,90,28,1139
770,88,42,1140
805,90,35,1141
835,84,55,1142
856,83,28,1143
806,109,35,1144
831,106,45,1145
795,105,41,1146
872,117,50,1147
832,117,42,1148
891,113,36,1149
859,104,42,1150
893,96,35,1151
853,133,47,1152
881,119,64,1153
838,139,56,1154
875,118,38,1155
887,116,35,1156
895,128,43,1157
851,121,54,1158
884,127,65,1159
914,125,54,1160
897,141,58,1161
928,122,53,1162
941,137,47,1163
870,137,52,1164
976,131,55,1165
886,154,57,1166
912,145,52,1167
929,135,59,1168
965,140,71,1169
933,129,57,1170
938,148,62,1171
958,144,65,1172
919,143,66,1173
914,153,90,1174
997,144,85,1175
972,143,87,1176
944,166,81,1177
955,142,83,1178
997,156,85,1179
982,131,76,1180
1013,146,94,1181
954,162,102,1182
963,162,108,1183
1001,182,95,1184
1022,177,100,1185
1007,166,93,1186
1005,147,105,1187
981,186,99,1188
1008,168,90,1189
1053,187,92,1190
1025,180,85,1191
987,184,116,1192
1047,193,93,1193
1040,189,97,1194
980,230,95,1195
1062,193,95,1196
1028,201,98,1197
1046,181,98,1198
1071,185,86,1199
1030,213,111,1200
1034,188,125,1201
1032,197,118,1202
1014,218,107,1203
986,230,111,1204
1043,212,113,1205
1047,203,123,1206
1034,197,116,1207
1025,218,123,1208
1043,230,137,1209
1084,226,110,1210
1025,220,127,1211
1002,238,138,1212
1054,226,118,1213
1048,229,138,1214
1024,241,131,1215
1064,250,133,1216
1042,242,133,1217
1063,261,120,1218
1042,255,140,1219
1000,284,137,1220
1021,297,120,1221
1060,248,129,1222
1033,265,133,1223
1030,308,141,1224
999,287,149,1225
1033,279,125,1226
1076,276,104,1227
1014,297,145,1228
1055,287,120,1229
1017,315,146,1230
1017,290,111,1231
1046,304,134,1232
1073,307,103,1233
1053,303,128,1234
1092,293,115,1235
1033,292,135,1236
1027,308,133,1237
992,326,168,1238
1029,310,130,1239
1025,310,150,1240
1016,349,149,1241
1032,340,160,1242
975,327,181,1243
1036,348,128,1244
1076,316,119,1245
1008,353,139,1246
1084,321,148,1247
1030,309,155,1248
1056,333,140,1249
1032,308,161,1250
1037,361,127,1251
1045,376,148,1252
1046,349,150,1253
1043,328,156,1254
1061,339,169,1255
1073,352,166,1256
1064,347,152,1257
1063,335,144,1258
1071,359,152,1259
1045,354,172,1260
1045,347,154,1261
1093,340,164,1262
1063,374,167,1263
1040,369,154,1264
1007,380,167,1265
1012,372,188,1266
1054,343,167,1267
1011,374,179,1268
1058,386,185,1269
1027,352,158,1270
1016,410,157,1271
1000,433,149,1272
1047,415,147,1273
1019,382,185,1274
1022,439,138,1275
1021,419,143,1276
1027,442,151,1277
1014,429,155,1278
1057,431,132,1279
983,422,157,1280
1025,405,173,1281
1006,427,179,1282
1019,433,192,1283
989,446,119,1284
993,479,172,1285
955,455,181,1286
1008,458,160,1287
980,448,182,1288
985,490,155,1289
944,462,164,1290
966,464,155,1291
996,485,144,1292
984,503,176,1293
1003,487,154,1294
965,478,168,1295
958,524,145,1296
958,537,153,1297
942,516,158,1298
970,528,144,1299
977,509,156,1300
948,504,133,1301
944,574,134,1302
909,512,162,1303
932,537,140,1304
960,530,156,1305
947,546,131,1306
915,581,141,1307
945,509,162,1308
932,576,155,1309
911,545,157,1310
914,552,155,1311
924,566,155,1312
938,552,160,1313
909,584,165,1314
930,574,147,1315
905,592,145,1316
932,594,137,1317
885,613,144,1318
878,650,144,1319
