Species1,Species2,Species3,Time
86,1581,66,1067
86,1628,86,1068
105,1600,80,1069
86,1618,91,1070
96,1630,86,1071
92,1609,98,1072
77,1614,99,1073
84,1609,95,1074
80,1584,90,1075
75,1607,86,1076
89,1613,70,1077
77,1603,86,1078
76,1636,86,1079
81,1643,84,1080
89,1641,78,1081
95,1579,81,1082
90,1629,72,1083
82,1636,85,1084
87,1647,74,1085
88,1648,84,1086
95,1600,77,1087
88,1622,85,1088
102,1609,86,1089
92,1645,82,1090
83,1642,101,1091
99,1616,87,1092
100,1586,80,1093
96,1632,67,1094
70,1628,85,1095
84,1675,74,1096
83,1612,99,1097
97,1623,91,1098
103,1608,92,1099
88,1611,93,1100
91,1662,79,1101
107,1611,74,1102
77,1635,78,1103
93,1604,72,1104
82,1662,69,1105
81,1655,76,1106
95,1595,78,1107
99,1620,69,1108
83,1648,92,1109
85,1671,83,1110
90,1600,83,1111
92,1631,74,1112
82,1609,84,1113
87,1618,86,1114
79,1640,94,1115
89,1630,77,1116
80,1615,77,1117
80,1695,71,1118
95,1610,75,1119
97,1602,91,1120
92,1643,77,1121
81,1602,82,1122
101,1642,81,1123
104,1620,74,1124
112,1599,72,1125
107,1651,82,1126
110,1616,70,1127
90,1582,73,1128
91,1686,62,1129
91,1647,65,1130
100,1632,75,1131
100,1606,63,1132
103,1621,83,1133
74,1680,66,1134
86,1648,69,1135
90,1648,66,1136
85,1651,66,1137
100,1625,70,1138
98,1627,68,1139
86,1643,58,1140
97,1637,64,1141
88,1685,59,1142
104,1659,50,1143
90,1649,69,1144
87,1602,72,1145
96,1624,71,1146
81,1686,61,1147
102,1647,69,1148
104,1667,49,1149
94,1659,59,1150
78,1661,59,1151
97,1659,59,1152
92,1646,70,1153
76,1648,59,1154
87,1663,57,1155
93,1653,63,1156
93,1691,69,1157
84,1665,68,1158
69,1642,73,1159
73,1687,67,1160
93,1603,65,1161
90,1681,56,1162
82,1647,52,1163
96,1633,57,1164
76,1657,61,1165
95,1629,64,1166
84,1626,61,1167
84,1654,70,1168
71,1724,57,1169
75,1690,57,1170
80,1666,65,1171
86,1644,62,1172
78,1648,59,1173
94,1653,55,1174
94,1652,48,1175
83,1676,56,1176
70,1675,41,1177
82,1651,51,1178
83,1665,48,1179
68,1718,46,1180
89,1633,54,1181
67,1709,56,1182
87,1645,64,1183
86,1644,59,1184
69,1655,57,1185
83,1657,54,1186
86,1655,63,1187
71,1702,56,1188
99,1629,58,1189
69,1631,60,1190
92,1689,55,1191
82,1681,54,1192
84,1675,67,1193
102,1631,55,1194
105,1622,59,1195
86,1621,77,1196
95,1651,66,1197
98,1667,63,1198
82,1646,65,1199
84,1665,52,1200
82,1660,48,1201
87,1667,53,1202
73,1657,63,1203
72,1671,60,1204
78,1693,49,1205
79,1671,52,1206
79,1626,43,1207
88,1646,52,1208
70,1702,63,1209
72,1689,51,1210
72,1653,66,1211
80,1638,59,1212
76,1676,68,1213
76,1699,51,1214
85,1673,44,1215
84,1667,61,1216
65,1678,44,1217
65,1680,55,1218
73,1721,59,1219
62,1657,55,1220
71,1670,54,1221
66,1648,59,1222
76,1676,51,1223
80,1664,53,1224
70,1670,49,1225
70,1661,40,1226
62,1671,64,1227
75,1651,47,1228
62,1698,61,1229
67,1681,42,1230
64,1682,51,1231
72,1649,35,1232
49,1698,49,1233
72,1643,46,1234
57,1652,48,1235
69,1726,43,1236
70,1665,53,1237
60,1732,52,1238
53,1696,52,1239
57,1664,48,1240
63,1711,56,1241
64,1649,52,1242
69,1692,58,1243
63,1640,56,1244
52,1675,39,1245
64,1738,48,1246
53,1705,52,1247
78,1641,60,1248
68,1698,52,1249
70,1648,47,1250
50,1667,39,1251
65,1634,63,1252
81,1661,38,1253
53,1663,48,1254
50,1663,53,1255
70,1697,45,1256
58,1667,45,1257
69,1617,47,1258
61,1687,46,1259
67,1684,40,1260
71,1675,45,1261
49,1686,40,1262
61,1706,39,1263
64,1647,47,1264
61,1702,49,1265
73,1648,49,1266
65,1710,45,1267
57,1700,40,1268
53,1691,51,1269
62,1667,45,1270
64,1733,36,1271
60,1673,38,1272
64,1723,39,1273
63,1700,38,1274
53,1709,39,1275
68,1697,49,1276
57,1678,60,1277
58,1692,44,1278
68,1687,46,1279
60,1722,47,1280
68,1680,42,1281
75,1678,50,1282
48,1686,55,1283
71,1678,51,1284
58,1699,51,1285
54,1652,40,1286
51,1703,45,1287
58,1688,44,1288
66,1687,49,1289
62,1673,48,1290
68,1667,56,1291
46,1696,43,1292
51,1695,55,1293
54,1718,50,1294
59,1681,47,1295
54,1701,47,1296
67,1671,49,1297
71,1710,46,1298
63,1708,46,1299
61,1692,41,1300
55,1671,56,1301
60,1731,41,1302
69,1697,41,1303
58,1701,47,1304
50,1666,57,1305
56,1690,41,1306
58,1704,54,1307
50,1751,47,1308
55,1682,62,1309
62,1715,54,1310
64,1699,34,1311
55,1704,46,1312
62,1676,43,1313
45,1699,43,1314
57,1691,36,1315
57,1691,32,1316
55,1712,29,1317
57,1712,40,1318
66,1702,34,1319
54,1688,37,1320
55,1697,29,1321
67,1683,40,1322
50,1693,38,1323
73,1669,39,1324
60,1703,49,1325
62,1669,41,1326
62,1715,46,1327
58,1696,38,1328
66,1663,40,1329
57,1694,32,1330
66,1706,41,1331
54,1674,59,1332
71,1698,42,1333
47,1660,42,1334
75,1690,38,1335
57,1685,52,1336
67,1682,48,1337
60,1693,35,1338
48,1697,34,1339
55,1700,30,1340
61,1672,43,1341
61,1679,39,1342
64,1682,30,1343
72,1657,36,1344
64,1676,45,1345
83,1672,42,1346
53,1709,36,1347
66,1705,42,1348
55,1714,41,1349
55,1744,28,1350
65,1680,41,1351
42,1681,46,1352
59,1683,40,1353
57,1662,21,1354
62,1699,34,1355
62,1652,39,1356
50,1762,38,1357
45,1720,36,1358
65,1686,44,1359
