Species1,Species2,Species3,Species1_b,Species2_b,Species3_b,Species1_Density,Species2_Density,Species3_Density,Time
239,1081,429,0,0,0,[],[],[],431
254,1085,433,0,0,0,[],[],[],432
241,1042,404,0,0,0,[],[],[],433
252,1048,432,0,0,0,[],[],[],434
232,1091,380,0,0,0,[],[],[],435
256,1030,440,0,0,0,[],[],[],436
248,1070,421,0,0,0,[],[],[],437
255,1043,426,0,0,0,[],[],[],438
238,1093,414,0,0,0,[],[],[],439
250,1096,412,0,0,0,[],[],[],440
268,1080,413,0,0,0,[],[],[],441
262,1071,378,0,0,0,[],[],[],442
232,1085,397,0,0,0,[],[],[],443
262,1083,404,0,0,0,[],[],[],444
268,1032,373,0,0,0,[],[],[],445
239,1068,420,0,0,0,[],[],[],446
227,1082,382,0,0,0,[],[],[],447
225,1084,400,0,0,0,[],[],[],448
256,1090,389,0,0,0,[],[],[],449
247,1074,379,0,0,0,[],[],[],450
262,1090,405,0,0,0,[],[],[],451
231,1094,392,0,0,0,[],[],[],452
232,1114,387,0,0,0,[],[],[],453
240,1117,377,0,0,0,[],[],[],454
257,1057,416,0,0,0,[],[],[],455
226,1076,435,0,0,0,[],[],[],456
213,1109,410,0,0,0,[],[],[],457
233,1135,405,0,0,0,[],[],[],458
219,1145,388,0,0,0,[],[],[],459
219,1090,381,0,0,0,[],[],[],460
230,1089,402,0,0,0,[],[],[],461
237,1089,407,0,0,0,[],[],[],462
241,1081,378,0,0,0,[],[],[],463
231,1088,391,0,0,0,[],[],[],464
251,1059,412,0,0,0,[],[],[],465
233,1085,407,0,0,0,[],[],[],466
227,1109,411,0,0,0,[],[],[],467
231,1131,407,0,0,0,[],[],[],468
223,1141,396,0,0,0,[],[],[],469
233,1129,384,0,0,0,[],[],[],470
250,1063,380,0,0,0,[],[],[],471
229,1101,385,0,0,0,[],[],[],472
232,1080,415,0,0,0,[],[],[],473
255,1130,364,0,0,0,[],[],[],474
255,1092,394,0,0,0,[],[],[],475
243,1084,352,0,0,0,[],[],[],476
227,1096,387,0,0,0,[],[],[],477
226,1062,384,0,0,0,[],[],[],478
252,1085,398,0,0,0,[],[],[],479
244,1111,362,0,0,0,[],[],[],480
191,1131,382,0,0,0,[],[],[],481
250,1096,395,0,0,0,[],[],[],482
238,1090,401,0,0,0,[],[],[],483
246,1111,367,0,0,0,[],[],[],484
234,1115,378,0,0,0,[],[],[],485
273,1039,374,0,0,0,[],[],[],486
241,1072,398,0,0,0,[],[],[],487
260,1105,391,0,0,0,[],[],[],488
228,1065,398,0,0,0,[],[],[],489
249,1143,341,0,0,0,[],[],[],490
240,1102,345,0,0,0,[],[],[],491
265,1173,345,0,0,0,[],[],[],492
238,1128,360,0,0,0,[],[],[],493
